order_id,customer_id,order_date,ship_date,store,category,quantity,unit_price,discount,tax,order_total,payment_method,promo_code,email
ORD-10001,C1071,2024/08/11,2024-11-03,Burbank,Grocery,4,$13,,,50.46 USD,GiftCard,NONE, 
ORD-10002,C1421,10/01/24,08/19/2024,Northridge,Apparel,5,$34.30, 0.1 ,,176.93 USD,Cash,WELCOME10,
ORD-10003,C1400,2024-09-18,2024-11-20,Northridge,Beauty,2,$46.00,0.08,,$92.22,Card,BOGO,
ORD-10004,C1360,"Nov 11, 2024",2024/11/20,Northridge,Grocery,2,$38.64, 0.1 ,$7,83.53,Cash,WELCOME10, 
ORD-10005,C1132,2024/09/23,2024/11/29,Northridge,Home,4,19.74, 0.1 ,N/A,72.16 USD,ACH,BOGO,
ORD-10006,C1607,10/05/24,"Aug 22, 2024",Burbank,Beauty,1,41.58 USD,11%,N/A,40.72,ACH,HOLIDAY20,not_an_email
ORD-10007,C1738,"Nov 17, 2024",2024-09-20,Online,Grocery,4,24.68,,,$103,ACH,HOLIDAY20,user469@csun.edu
ORD-10008,C1636,09/09/24,09/01/2024,Northridge,Electronics,1, 29.95 ,,,$32,ACH,CLEARANCE,user669@csun.edu
ORD-10009,C1752,2024-09-22,11/17/2024,Burbank,Home,3,41.78 USD,0,,132.65 USD,Card,WELCOME10,user387@csun.edu
ORD-10010,C1718,"Nov 08, 2024",08/28/24,Online,Grocery,2, 47.69 ,10%,N/A,$94.44,ACH,BOGO,
ORD-10011,C1637,2024/09/03,2024/11/14,Northridge,Home,4,$43,0,, 189.93 ,Cash,HOLIDAY20,
ORD-10012,C1404,2024-09-22,"Oct 30, 2024",Northridge,Home,3,27.05, 0.1 ,N/A,72.44,ACH,WELCOME10,user654@gmail.com
ORD-10013,C1684,2024/10/07,10/15/2024,Burbank,Beauty,3,$26,0.09,,77.52 USD,Card,BOGO,user559@csun.edu
ORD-10014,C1635,11/26/2024,2024/08/30,Northridge,Home,2,$25.72,,,$54,Card,CLEARANCE,
